light_model,heavy_model,router_ratio,disc_ratio,threshold,latency,fid
1,2,0.8,0.7,0.94,12.48,20.54
1,2,0.8,0.8,0.96,12.74,20.57
1,2,0.8,0.9,0.98,13.0,20.59
1,2,0.8,1.0,1.0,13.26,20.61
1,2,0.9,0.0,0.9,11.83,20.58
1,2,0.9,0.1,0.91,11.96,20.57
1,2,0.9,0.2,0.92,12.09,20.58
1,2,0.9,0.3,0.93,12.22,20.59
1,2,0.9,0.4,0.94,12.35,20.59
1,2,0.9,0.5,0.95,12.48,20.57
1,2,0.9,0.6,0.96,12.61,20.57
1,2,0.9,0.7,0.97,12.74,20.59
1,2,0.9,0.8,0.98,12.87,20.6
1,2,0.9,0.9,0.99,13.0,20.61
1,2,0.9,1.0,1.0,13.13,20.61
1,2,1.0,0.0,1.0,13.0,20.61
1,2,1.0,0.1,1.0,13.0,20.61
1,2,1.0,0.2,1.0,13.0,20.61
1,2,1.0,0.3,1.0,13.0,20.61
1,2,1.0,0.4,1.0,13.0,20.61
1,2,1.0,0.5,1.0,13.0,20.61
1,2,1.0,0.6,1.0,13.0,20.61
1,2,1.0,0.7,1.0,13.0,20.61
1,2,1.0,0.8,1.0,13.0,20.61
1,2,1.0,0.9,1.0,13.0,20.61
1,2,1.0,1.0,1.0,13.0,20.61
1,3,0.0,0.0,0.0,1.3,25.22
1,3,0.0,0.1,0.1,4.0,23.95
1,3,0.0,0.2,0.2,6.7,23.12
1,3,0.0,0.3,0.3,9.4,22.51
1,3,0.0,0.4,0.4,12.1,21.93
1,3,0.0,0.5,0.5,14.8,21.4
1,3,0.0,0.6,0.6,17.5,20.99
1,3,0.0,0.7,0.7,20.2,20.63
1,3,0.0,0.8,0.8,22.9,20.34
1,3,0.0,0.9,0.9,25.6,20.13
1,3,0.0,1.0,1.0,28.3,19.95
1,3,0.1,0.0,0.1,3.87,24.21
1,3,0.1,0.1,0.19,6.3,23.21
1,3,0.1,0.2,0.28,8.73,22.56
1,3,0.1,0.3,0.37,11.16,22.06
1,3,0.1,0.4,0.46,13.59,21.58
1,3,0.1,0.5,0.55,16.02,21.14
1,3,0.1,0.6,0.64,18.45,20.8
1,3,0.1,0.7,0.73,20.88,20.5
1,3,0.1,0.8,0.82,23.31,20.27
1,3,0.1,0.9,0.91,25.74,20.1
1,3,0.1,1.0,1.0,28.17,19.95
1,3,0.2,0.0,0.2,6.44,23.25
1,3,0.2,0.1,0.28,8.6,22.48
1,3,0.2,0.2,0.36,10.76,21.99
1,3,0.2,0.3,0.44,12.92,21.6
1,3,0.2,0.4,0.52,15.08,21.21
1,3,0.2,0.5,0.6,17.24,20.89
1,3,0.2,0.6,0.68,19.4,20.59
1,3,0.2,0.7,0.76,21.56,20.38
1,3,0.2,0.8,0.84,23.72,20.22
1,3,0.2,0.9,0.92,25.88,20.08
1,3,0.2,1.0,1.0,28.04,19.95
1,3,0.3,0.0,0.3,9.01,22.57
1,3,0.3,0.1,0.37,10.9,21.97
1,3,0.3,0.2,0.44,12.79,21.56
